yr,harmonized.name,triad_01,triad_02,triad_03,triad_04,triad_05,triad_06,triad_07,triad_08,triad_09,triad_10,triad_11,triad_12,triad_13,wgi.corrupt,wgi.govt,wgi.stability,wgi.regulatory,wgi.law,wgi.voice,gdp,pop,pc.gdp
2019,Afghanistan,-0.18508667134325,0.0977194973917167,-0.446934048111468,-0.405759163003059,-0.492635326554681,-0.395870353638777,0.137139761270635,-0.178574236503546,0.071067114872612,-0.281396438497731,-0.229300751250107,-0.0699355655945734,0,-1.40771043300629,-1.49562668800354,-2.65553116798401,-1.12304580211639,-1.72789442539215,-1.00674676895142,18904490262.913,37769499,500.522664145294
2019,Albania,0.0689446769846208,0.330164418492732,0.27663264253731,0.565373459576512,-0.268209290218037,0.0630125119791687,0.0279808209549866,0.365552041320069,0.309194105987248,-0.111178842448332,0.24758797303562,0.332393990181967,0,-0.543374061584473,-0.033333245664835,0.111168630421162,0.285658627748489,-0.402843326330185,0.142711371183395,15401830754.0773,2854191,5396.21586434731
2019,Algeria,-0.160861598089174,0.321724564642995,0.185293918638745,0.159457692324471,-0.147376207582585,0.0867731994801639,0.248446552862543,0.0446311687504353,0.460110037120681,0.200507124580258,-0.21391429853131,0.573913543568814,0.301411442055992,-0.63569438457489,-0.54141891002655,-1.04434263706207,-1.3732773065567,-0.848534941673279,-1.05352377891541,171767403748.19,42705368,4022.15018374716
2019,American Samoa,-0.364029162753332,-0.445169371475664,-0.269545085039837,-0.402348115396443,-0.352943994875484,0,0.499043544127188,-0.0843286033551889,0,0,-0.232471943974624,0,0,1.8407998085022,0.537684321403503,1.17218911647797,-0.301867425441742,1.32805216312408,1.27270877361298,6.47e+08,47321,13672.576657298
2019,Andorra,-0.310922218584337,0,0.946816089003616,0,0.0828653582294252,0,0,0,0,0,0,0,0,1.23104310035706,1.90103769302368,1.60220229625702,1.22653388977051,1.57228696346283,1.11008703708649,3155065487.51819,76343,41327.5020305488
2019,Angola,-0.448201585463942,0.387454360149231,0.224647302507234,0.287277975384119,-0.082776700374484,0.121093508246315,0.0643002064508327,-0.0182413407903742,0.30738094061158,0.0836859381893763,-0.18639799989476,0.404246993189327,0.436314455670875,-1.07811367511749,-1.08401024341583,-0.358524978160858,-0.820471882820129,-0.993774950504303,-0.783404350280762,69309110145.7687,32353588,2142.23875712854
2019,Anguilla,0,0.95981987262128,-0.26081933049733,-0.103533033183592,0,0,0,0,0,0,0,0,0,1.23104310035706,0.810354948043823,1.35569405555725,0.844433665275574,0.351113021373749,,,,
2019,Antarctica,0.686065384772697,0,-0.707514293571705,0,0.169522305931763,0,0,0,0,0,0,0,0,,,,,,,,,
2019,Antigua and Barbuda,0.503902613443589,-0.210712427320422,0.191511949101041,0,0.686748644586311,0,-0.220125701620835,0,0,0.380692234139046,0,0,0,0.274131566286087,-0.00765708275139332,0.953555166721344,0.483430832624435,0.400458484888077,0.733219802379608,1687533333.33333,92117,18319.4560540761
2019,Argentina,-0.230834824406973,0.267265157006743,-0.0571361782368356,0.36209844959802,-0.261267319576446,-0.227085555962336,0.380901668326661,-0.507347491820678,0.430733833987261,0.068889045432903,-0.121323920943597,0.0685086514622285,0.0943318810895259,-0.083662860095501,-0.0965068936347961,-0.0914442017674446,-0.436932802200317,-0.408074647188187,0.572384655475617,447754609218.678,44938712,9963.6725062053
2019,Armenia,-0.469699382933191,-0.109266557480304,-0.368956361669595,-0.137276887469465,-0.542596976786255,0,-0.474567378148896,-0.224455609399691,0,-0.191637846137534,0.0757529415593437,0,0,-0.203820124268532,-0.197479233145714,-0.413424372673035,0.255927443504334,-0.157182589173317,0.055480632930994,13619291361.2814,2820602,4828.50517771788
2019,Aruba,-0.183272361846898,-0.346067366295475,0.115229365921429,0,0.410866559084468,0,-0.431053589988151,0,0,0.691919276926243,0,0,0,1.2138819694519,1.02402460575104,1.34979605674744,0.855567157268524,1.25625967979431,1.26436722278595,3368970253.05286,106442,31650.7605367511
2019,Australia,0.14650837679213,-0.420189269558096,0.116574503854889,0.101057131682254,-0.122776617084653,-0.45851953433961,-0.261858693732487,-0.0194710342777083,0.337865105775428,-0.0614186030574293,0.0824256202652185,-0.0103361429952671,0.59923690098485,1.8221447467804,1.56487631797791,0.911745727062225,1.87215864658356,1.72611081600189,1.26739799976349,1392227864397.08,25340217,54941.4341793948
2019,Austria,-0.0914414847268306,0.236185604340509,-0.171878979507622,-0.382462057789337,-0.197007495891208,-0.541294410716165,0.166565625981753,-0.0208472549818844,0.473870219588185,0.00289373777496046,-0.113966200506126,0.0109348905859966,0.40295864824889,1.55429518222809,1.52114546298981,0.91674792766571,1.45756649971008,1.89534270763397,1.33874893188477,444621176100.548,8879920,50070.4033482901
2019,Azerbaijan,-0.346427997590094,0.136782065398507,0.288822976875525,0.147877221677505,-0.0618135886278228,-0.315590216803569,0.117052404117283,0.0674748931085974,0.710982618299483,0.237590968548856,-0.00295367409353614,-0.147214988809297,-0.225150980982027,-0.8299640417099,-0.0864946097135544,-0.685912430286408,-0.214039906859398,-0.591070115566254,-1.52944147586823,48174235294.1176,10024283,4805.75371765917
2019,Bahamas,0.0186366670868877,-0.310155633808766,-0.491153921395783,-0.543126624773019,-0.302836417488074,0,-0.234504283546361,-0.222008642893218,0,0.388434964183995,-0.14270857976406,0,0,1.1338517665863,0.481303781270981,0.816237688064575,-0.0504641570150852,0.0725988522171974,0.906194150447845,13192800000,404557,32610.4850490784
